PLAYER,TEAMID,STADIUM,MDATE
Mario Gómez,GER,Arena Lviv,06/09/12
Mario Gómez,GER,Metalist Stadium,06/13/12
Mario Gómez,GER,Metalist Stadium,06/13/12
Lars Bender,GER,Arena Lviv,06/17/12
Lukas Podolski,GER,Arena Lviv,06/17/12
