STADIUM,GOALS
Donbass Arena,2
Olimpiyskiy National Sports Complex,3
"National Stadium, Warsaw",5
Metalist Stadium,7
PGE Arena Gdansk,7
Stadion Miejski (Poznan),8
Stadion Miejski (Wroclaw),9
Arena Lviv,9
