PLAYER,TEAMID,COACH,GTIME
Václav Pilar,CZE,Michal Bílek,6
Petr Jirácek,CZE,Michal Bílek,3
Fernando Torres,ESP,Vicente del Bosque,4
Mario Mandžukic,CRO,Slaven Bilic,3
